Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
VCP 	0.00082484	Viracopos, Brazil
TPA 	0.00082148	Tampa Intl, United States
PRG 	0.00081903	Ruzyne, Czech Republic
NKG 	0.00081183	Lukou, China
ALC 	0.00081176	Alicante, Spain
IBZ 	0.00080400	Ibiza, Spain
BHX 	0.00079911	Birmingham, United Kingdom
PTY 	0.00079875	Tocumen Intl, Panama
DMK 	0.00079847	Don Muang Intl, Thailand
CCU 	0.00078461	Netaji Subhash Chandra Bose Intl, India
NCE 	0.00078117	Cote D\\'Azur, France
JNU 	0.00077721	Juneau Intl, United States
VCE 	0.00077561	Venezia Tessera, Italy
SGN 	0.00076097	Tansonnhat Intl, Vietnam
STR 	0.00075543	Stuttgart, Germany
DPS 	0.00074810	Bali Ngurah Rai, Indonesia
LYS 	0.00074460	Saint Exupery, France
CNS 	0.00074344	Cairns Intl, Australia
LPA 	0.00074294	Gran Canaria, Spain
HAM 	0.00073933	Hamburg, Germany
SAN 	0.00073587	San Diego Intl, United States
VLI 	0.00072229	Port Vila Bauerfield, Vanuatu
ALG 	0.00072066	Houari Boumediene, Algeria
EDI 	0.00071827	Edinburgh, United Kingdom
SJO 	0.00071721	Juan Santamaria Intl, Costa Rica
MRS 	0.00071396	Provence, France
WAW 	0.00071276	Okecie, Poland
CMN 	0.00070401	Mohammed V Intl, Morocco
YXL 	0.00070310	Sioux Lookout, Canada
GLA 	0.00070227	Glasgow, United Kingdom
SSA 	0.00070015	Deputado Luis Eduardo Magalhaes, Brazil
MHD 	0.00069426	Mashhad, Iran
TLV 	0.00069425	Ben Gurion, Israel
YEG 	0.00069378	Edmonton Intl, Canada
HER 	0.00069105	Nikos Kazantzakis, Greece
NAN 	0.00068760	Nadi Intl, Fiji
MAO 	0.00068269	Eduardo Gomes Intl, Brazil
CGO 	0.00068266	Xinzheng, China
VKO 	0.00067697	Vnukovo, Russia
UPG 	0.00067559	Hasanuddin, Indonesia
AYT 	0.00066680	Antalya, Turkey
BLR 	0.00066588	Bangalore, India
MAA 	0.00066263	Chennai Intl, India
DLC 	0.00066260	Zhoushuizi, China
AMM 	0.00066092	Queen Alia Intl, Jordan
CGN 	0.00064949	Koln Bonn, Germany
EZE 	0.00064752	Ministro Pistarini, Argentina
KWI 	0.00064612	Kuwait Intl, Kuwait
CNF 	0.00064551	Tancredo Neves Intl, Brazil
OME 	0.00064275	Nome, United States
SJU 	0.00064085	Luis Munoz Marin Intl, Puerto Rico
OTP 	0.00063788	Henri Coanda, Romania
ADL 	0.00063315	Adelaide Intl, Australia
SHE 	0.00063257	Shenyang Taoxian International Airport, China
HAN 	0.00062692	Noibai Intl, Vietnam
RHO 	0.00062665	Rhodes Diagoras, Greece
GEA 	0.00062601	Magenta, New Caledonia
CEB 	0.00062557	Mactan Cebu Intl, Philippines
KBP 	0.00062329	Boryspil Intl, Ukraine
CLE 	0.00062316	Cleveland Hopkins Intl, United States
TFS 	0.00062041	Tenerife Sur, Spain
MCT 	0.00061784	Seeb Intl, Oman
YZF 	0.00061324	Yellowknife, Canada
HRB 	0.00061117	Taiping, China
SVX 	0.00060331	Koltsovo, Russia
OTZ 	0.00060314	Ralph Wien Mem, United States
BGY 	0.00059364	Bergamo Orio Al Serio, Italy
CTS 	0.00059326	New Chitose, Japan
KTM 	0.00059285	Tribhuvan Intl, Nepal
PAC 	0.00059193	Marcos A Gelabert Intl, Panama
LAD 	0.00059088	Luanda 4 De Fevereiro, Angola
DRW 	0.00058811	Darwin Intl, Australia
NAS 	0.00058797	Lynden Pindling Intl, Bahamas
RIX 	0.00058645	Riga Intl, Latvia
HAV 	0.00058596	Jose Marti Intl, Cuba
TNA 	0.00058121	Jinan, China
SUB 	0.00057914	Juanda, Indonesia
OVB 	0.00057716	Tolmachevo, Russia
TSN 	0.00057553	Binhai, China
KWE 	0.00057385	Longdongbao, China
BRS 	0.00056160	Bristol, United Kingdom
POA 	0.00055951	Salgado Filho, Brazil
LTN 	0.00055730	Luton, United Kingdom
CWB 	0.00055519	Afonso Pena, Brazil
WLG 	0.00055376	Wellington Intl, New Zealand
GDL 	0.00055296	Don Miguel Hidalgo Y Costilla Intl, Mexico
FUK 	0.00055045	Fukuoka, Japan
KHI 	0.00054801	Jinnah Intl, Pakistan
HYD 	0.00054331	Hyderabad, India
CMB 	0.00054312	Bandaranaike Intl Colombo, Sri Lanka
TAS 	0.00054037	Yuzhny, Uzbekistan
