Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
CIS 	0.00017422	Canton, Kiribati
UAM 	0.00017422	Andersen Afb, Guam
TIQ 	0.00017422	Tinian Intl, Northern Mariana Islands
NSO 	0.00017422	Scone Airport, Australia
MDY 	0.00017422	Midway Atoll, Midway Islands
PIF 	0.00017422	Pingtung South, Taiwan
GNI 	0.00017422	Lyudao, Taiwan
CYI 	0.00017422	Chiayi, Taiwan
KYD 	0.00017422	Lanyu, Taiwan
CES 	0.00017422	Cessnock Airport, Australia
WOT 	0.00017422	Wang An, Taiwan
IWO 	0.00017422	Iwo Jima, Japan
SPK 	0.00017422	Chitose, Japan
OIR 	0.00017422	Okushiri, Japan
KUM 	0.00017422	Yakushima, Japan
TNE 	0.00017422	New Tanegashima, Japan
TKN 	0.00017422	Tokunoshima, Japan
OKI 	0.00017422	Oki, Japan
LKS 	0.00017422	Sazena, Czech Republic
OKO 	0.00017422	Yokota Ab, Japan
SHO 	0.00017422	Sokcho, South Korea
KAG 	0.00017422	Gangneung, South Korea
MQB 	0.00017422	Macomb Municipal Airport, United States
SSN 	0.00017422	Seoul Ab, South Korea
OSN 	0.00017422	Osan Ab, South Korea
YEC 	0.00017422	Yecheon, South Korea
DNA 	0.00017422	Kadena Ab, Japan
MMD 	0.00017422	Minami Daito, Japan
KTD 	0.00017422	Kitadaito, Japan
SHI 	0.00017422	Shimojishima, Japan
RNJ 	0.00017422	Yoron, Japan
OGN 	0.00017422	Yonaguni, Japan
MYP 	0.00017422	Mary Airport, Turkmenistan
BAG 	0.00017422	Baguio, Philippines
GEN 	0.00017422	Gardermoen Airport, Norway
AUW 	0.00017422	Wausau Downtown Airport, United States
COC 	0.00017422	Comodoro Pierrestegui, Argentina
GHU 	0.00017422	Gualeguaychu, Argentina
PRA 	0.00017422	General Urquiza, Argentina
LPG 	0.00017422	La Plata, Argentina
LGS 	0.00017422	Malargue, Argentina
RCU 	0.00017422	Rio Cuarto Area De Material, Argentina
VDR 	0.00017422	Villa Dolores, Argentina
AOL 	0.00017422	Paso De Los Libres, Argentina
ORA 	0.00017422	Oran, Argentina
C47 	0.00017422	Portage Municipal Airport, United States
EHL 	0.00017422	El Bolson, Argentina
PUD 	0.00017422	Puerto Deseado, Argentina
ULA 	0.00017422	San Julian, Argentina
PMQ 	0.00017422	Perito Moreno, Argentina
RZA 	0.00017422	Santa Cruz, Argentina
MCD 	0.00017422	Mackinac Island Airport, United States
TDL 	0.00017422	Tandil, Argentina
VLG 	0.00017422	Villa Gesell, Argentina
AQA 	0.00017422	Araraquara, Brazil
BGX 	0.00017422	Comandante Gustavo Kraemer, Brazil
BFH 	0.00017422	Bacacheri, Brazil
BAU 	0.00017422	Bauru, Brazil
CLN 	0.00017422	Carolina, Brazil
CRQ 	0.00017422	Caravelas, Brazil
LIP 	0.00017422	Lins, Brazil
GRM 	0.00017422	Grand Marais Cook County Airport, United States
POO 	0.00017422	Pocos De Caldas, Brazil
PNB 	0.00017422	Porto Nacional, Brazil
PMG 	0.00017422	Ponta Pora, Brazil
NPZ 	0.00017422	Porter County Municipal Airport, United States
STU 	0.00017422	Santa Cruz, Brazil
SSZ 	0.00017422	Base Aerea De Santos, Brazil
PAV 	0.00017422	Paulo Afonso, Brazil
QPS 	0.00017422	Campo Fontenelle, Brazil
CCH 	0.00017422	Chile Chico, Chile
GXQ 	0.00017422	Teniente Vidal, Chile
LSQ 	0.00017422	Maria Dolores, Chile
WCH 	0.00017422	Chaiten, Chile
ATF 	0.00017422	Chachoan, Ecuador
MCH 	0.00017422	General Manuel Serrano, Ecuador
PVO 	0.00017422	Reales Tamarindos, Ecuador
SNC 	0.00017422	General Ulpiano Paez, Ecuador
TPC 	0.00017422	Tarapoa, Ecuador
MXY 	0.00017422	McCarthy Airport, United States
MGN 	0.00017422	Baracoa, Colombia
OCV 	0.00017422	Aguas Claras, Colombia
OTU 	0.00017422	Otu, Colombia
ULQ 	0.00017422	Farfan, Colombia
BJO 	0.00017422	Bermejo, Bolivia
SWD 	0.00017422	Seward Airport, United States
CHM 	0.00017422	Teniente Jaime A De Montreuil Morales, Peru
JJI 	0.00017422	Juanjui, Peru
MGC 	0.00017422	Michigan City Municipal Airport, United States
YMS 	0.00017422	Moises Benzaquen Rengifo, Peru
CHH 	0.00017422	Chachapoyas, Peru
PIO 	0.00017422	Pisco Intl, Peru
TYL 	0.00017422	Capitan Montes, Peru
STY 	0.00017422	Nueva Hesperides Intl, Uruguay
AGV 	0.00017422	Oswaldo Guevara Mujica, Venezuela
AAO 	0.00017422	Anaco, Venezuela
CBL 	0.00017422	Ciudad Bolivar, Venezuela
CUP 	0.00017422	General Jose Francisco Bermudez, Venezuela
CUM 	0.00017422	Antonio Jose De Sucre, Venezuela
GUI 	0.00017422	Guiria, Venezuela
GUQ 	0.00017422	Guanare, Venezuela
LFR 	0.00017422	La Fria, Venezuela
MRD 	0.00017422	Alberto Carnevalli, Venezuela
PBL 	0.00017422	General Bartolome Salom Intl, Venezuela
SVZ 	0.00017422	San Antonio Del Tachira, Venezuela
SFH 	0.00017422	Sub Teniente Nestor Arias, Venezuela
SFD 	0.00017422	San Fernando De Apure, Venezuela
STB 	0.00017422	Santa Barbara Del Zulia, Venezuela
TUV 	0.00017422	Tucupita, Venezuela
VDP 	0.00017422	Valle De La Pascua, Venezuela
LTM 	0.00017422	Lethem, Guyana
DCF 	0.00017422	Canefield, Dominica
FAJ 	0.00017422	Diego Jimenez Torres, Puerto Rico
SIG 	0.00017422	Fernando Luis Ribas Dominicci, Puerto Rico
MQS 	0.00017422	Mustique, Saint Vincent and the Grenadines
PVS 	0.00017422	Provideniya Bay, Russia
VTB 	0.00017422	Vitebsk, Belarus
MHP 	0.00017422	Minsk 1, Belarus
GBZ 	0.00017422	Great Barrier Island, New Zealand
KRW 	0.00017422	Turkmenbashi, Turkmenistan
IUD 	0.00017422	Al Udeid AB, Qatar
BZK 	0.00017422	Bryansk, Russia
KLD 	0.00017422	Migalovo, Russia
KBY 	0.00017422	Kurumoch, Russia
AKD 	0.00017422	Akola, India
PAB 	0.00017422	Bilaspur, India
NMB 	0.00017422	Daman, India
IXY 	0.00017422	Kandla, India
KLH 	0.00017422	Kolhapur, India
IXK 	0.00017422	Keshod, India
ISK 	0.00017422	Nasik Road, India
SSE 	0.00017422	Sholapur, India
RML 	0.00017422	Colombo Ratmalana, Sri Lanka
GOY 	0.00017422	Amparai, Sri Lanka
JAF 	0.00017422	Kankesanturai, Sri Lanka
TRR 	0.00017422	China Bay, Sri Lanka
KIK 	0.00017422	Kirkuk AB, Iraq
COH 	0.00017422	Cooch Behar, India
DBD 	0.00017422	Dhanbad, India
GAY 	0.00017422	Gaya, India
IXW 	0.00017422	Jamshedpur, India
IXH 	0.00017422	Kailashahar, India
IXI 	0.00017422	Lilabari, India
MOH 	0.00017422	Dibrugarh, India
RRK 	0.00017422	Rourkela, India
IRD 	0.00017422	Ishurdi, Bangladesh
SPD 	0.00017422	Saidpur, Bangladesh
KUU 	0.00017422	Kullu Manali, India
GWL 	0.00017422	Gwalior, India
JSA 	0.00017422	Jaisalmer, India
KTU 	0.00017422	Kota, India
IXP 	0.00017422	Pathankot, India
PGH 	0.00017422	Pantnagar, India
TNI 	0.00017422	Satna, India
BXH 	0.00017422	Balkhash Airport, Kazakhstan
BEP 	0.00017422	Bellary, India
CDP 	0.00017422	Cuddapah, India
PAN 	0.00017422	Pattani, Thailand
OKB 	0.00017422	Orchid Beach, Australia
NHA 	0.00017422	Nhatrang, Vietnam
BMQ 	0.00017422	Bamburi, Kenya
KYP 	0.00017422	Kyaukpyu, Burma
MOG 	0.00017422	Mong Hsat, Burma
OTI 	0.00017422	Pitu, Indonesia
DUM 	0.00017422	Pinang Kampai, Indonesia
RGT 	0.00017422	Japura, Indonesia
BZY 	0.00017422	Balti International Airport, Moldova
MKZ 	0.00017422	Malacca, Malaysia
QPG 	0.00017422	Paya Lebar, Singapore
XSP 	0.00017422	Seletar, Singapore
MBW 	0.00017422	Melbourne Moorabbin, Australia
JAD 	0.00017422	Perth Jandakot, Australia
UMR 	0.00017422	Woomera, Australia
BWU 	0.00017422	Sydney Bankstown, Australia
CDU 	0.00017422	Camden, Australia
ZGC 	0.00017422	Zhongchuan, China
HOJ 	0.00017422	Hohenems, Austria
K03 	0.00017422	Wainwright As, United States
LUR 	0.00017422	Cape Lisburne Lrrs, United States
ORL 	0.00017422	Executive, United States
Z84 	0.00017422	Clear, United States
UTO 	0.00017422	Indian Mountain Lrrs, United States
SVW 	0.00017422	Sparrevohn Lrrs, United States
FRN 	0.00017422	Bryant Ahp, United States
CZF 	0.00017422	Cape Romanzof Lrrs, United States
BED 	0.00017422	Laurence G Hanscom Fld, United States
EHM 	0.00017422	Cape Newenham Lrrs, United States
PBV 	0.00017422	St George, United States
BMX 	0.00017422	Big Mountain Afs, United States
OSC 	0.00017422	Oscoda Wurtsmith, United States
OAR 	0.00017422	Marina Muni, United States
MHR 	0.00017422	Sacramento Mather, United States
BYS 	0.00017422	Bicycle Lake Aaf, United States
NXP 	0.00017422	Twentynine Palms Eaf, United States
MRI 	0.00017422	Merrill Fld, United States
GNT 	0.00017422	Grants Milan Muni, United States
PNC 	0.00017422	Ponca City Rgnl, United States
SVN 	0.00017422	Hunter Aaf, United States
PBF 	0.00017422	Grider Fld, United States
NSE 	0.00017422	Whiting Fld Nas North, United States
SUU 	0.00017422	Travis Afb, United States
RME 	0.00017422	Griffiss Afld, United States
ENV 	0.00017422	Wendover, United States
BFM 	0.00017422	Mobile Downtown, United States
NOW 	0.00017422	Port Angeles Cgas, United States
FXE 	0.00017422	Fort Lauderdale Executive, United States
AND 	0.00017422	Anderson Rgnl, United States
HWO 	0.00017422	North Perry, United States
CTB 	0.00017422	Cut Bank Muni, United States
ARA 	0.00017422	Acadiana Rgnl, United States
DUG 	0.00017422	Bisbee Douglas Intl, United States
BIG 	0.00017422	Allen Aaf, United States
CNW 	0.00017422	Tstc Waco, United States
ANN 	0.00017422	Annette Island, United States
CAR 	0.00017422	Caribou Muni, United States
LRF 	0.00017422	Little Rock Afb, United States
HUA 	0.00017422	Redstone Aaf, United States
POB 	0.00017422	Pope Field, United States
DHT 	0.00017422	Dalhart Muni, United States
DLF 	0.00017422	Laughlin Afb, United States
ANB 	0.00017422	Anniston Metro, United States
DOV 	0.00017422	Dover Afb, United States
FME 	0.00017422	Tipton, United States
NID 	0.00017422	China Lake Naws, United States
INS 	0.00017422	Creech Afb, United States
HHI 	0.00017422	Wheeler Aaf, United States
MXF 	0.00017422	Maxwell Afb, United States
RBM 	0.00017422	Robinson Aaf, United States
FCS 	0.00017422	Butts Aaf, United States
NKX 	0.00017422	Miramar Mcas, United States
LUF 	0.00017422	Luke Afb, United States
HRT 	0.00017422	Hurlburt Fld, United States
HHR 	0.00017422	Jack Northrop Fld Hawthorne Muni, United States
HUL 	0.00017422	Houlton Intl, United States
END 	0.00017422	Vance Afb, United States
NTD 	0.00017422	Point Mugu Nas, United States
EDW 	0.00017422	Edwards Afb, United States
NLC 	0.00017422	Lemoore Nas, United States
FAF 	0.00017422	Felker Aaf, United States
HOP 	0.00017422	Campbell Aaf, United States
NHK 	0.00017422	Patuxent River Nas, United States
PSX 	0.00017422	Palacios Muni, United States
BYH 	0.00017422	Arkansas Intl, United States
TIK 	0.00017422	Tinker Afb, United States
ECG 	0.00017422	Elizabeth City Cgas Rgnl, United States
IKR 	0.00017422	Kirtland Air Force Base, United States
GRF 	0.00017422	Gray Aaf, United States
UPP 	0.00017422	Upolu, United States
MKO 	0.00017422	Davis Fld, United States
CDS 	0.00017422	Childress Muni, United States
BIX 	0.00017422	Keesler Afb, United States
LSF 	0.00017422	Lawson Aaf, United States
NQI 	0.00017422	Kingsville Nas, United States
FRI 	0.00017422	Marshall Aaf, United States
HKY 	0.00017422	Hickory Rgnl, United States
SPG 	0.00017422	Albert Whitted, United States
FMY 	0.00017422	Page Fld, United States
MLT 	0.00017422	Millinocket Muni, United States
ADW 	0.00017422	Andrews Afb, United States
INT 	0.00017422	Smith Reynolds, United States
VCV 	0.00017422	Southern California Logistics, United States
CEW 	0.00017422	Bob Sikes, United States
GTB 	0.00017422	Wheeler Sack Aaf, United States
PHN 	0.00017422	St Clair Co Intl, United States
DMA 	0.00017422	Davis Monthan Afb, United States
NPA 	0.00017422	Pensacola Nas, United States
RDR 	0.00017422	Grand Forks Afb, United States
BKF 	0.00017422	Buckley Afb, United States
ORT 	0.00017422	Northway, United States
PAQ 	0.00017422	Palmer Muni, United States
EFD 	0.00017422	Ellington Fld, United States
NUW 	0.00017422	Whidbey Island Nas, United States
ALI 	0.00017422	Alice Intl, United States
VAD 	0.00017422	Moody Afb, United States
BDR 	0.00017422	Igor I Sikorsky Mem, United States
GLS 	0.00017422	Scholes Intl At Galveston, United States
HDH 	0.00017422	Dillingham, United States
SZL 	0.00017422	Whiteman Afb, United States
AKC 	0.00017422	Akron Fulton Intl, United States
GWO 	0.00017422	Greenwood Leflore, United States
FOK 	0.00017422	Francis S Gabreski, United States
TNX 	0.00017422	Tonopah Test Range, United States
LNA 	0.00017422	Palm Beach Co Park, United States
NZY 	0.00017422	North Island Nas, United States
BIF 	0.00017422	Biggs Aaf, United States
LOU 	0.00017422	Bowman Fld, United States
FHU 	0.00017422	Sierra Vista Muni Libby Aaf, United States
HUF 	0.00017422	Terre Haute Intl Hulman Fld, United States
MWH 	0.00017422	Grant Co Intl, United States
MPV 	0.00017422	Edward F Knapp State, United States
HIF 	0.00017422	Hill Afb, United States
SPB 	0.00017422	Scappoose Industrial Airpark, United States
MNM 	0.00017422	Menominee Marinette Twin Co, United States
CXO 	0.00017422	Lone Star Executive, United States
COF 	0.00017422	Patrick Afb, United States
TEB 	0.00017422	Teterboro, United States
RCA 	0.00017422	Ellsworth Afb, United States
MLC 	0.00017422	Mc Alester Rgnl, United States
CFD 	0.00017422	Coulter Fld, United States
ESF 	0.00017422	Esler Rgnl, United States
LTS 	0.00017422	Altus Afb, United States
MIB 	0.00017422	Minot Afb, United States
BAB 	0.00017422	Beale Afb, United States
IKK 	0.00017422	Greater Kankakee, United States
GSB 	0.00017422	Seymour Johnson Afb, United States
RIU 	0.00017422	Rancho Murieta, United States
PMB 	0.00017422	Pembina Muni, United States
POE 	0.00017422	Polk Aaf, United States
EIL 	0.00017422	Eielson Afb, United States
LFK 	0.00017422	Angelina Co, United States
ADM 	0.00017422	Ardmore Muni, United States
WRI 	0.00017422	Mc Guire Afb, United States
NKT 	0.00017422	Cherry Point Mcas, United States
SBO 	0.00017422	Emanuel Co, United States
BDE 	0.00017422	Baudette Intl, United States
SAC 	0.00017422	Sacramento Executive, United States
MGE 	0.00017422	Dobbins Arb, United States
SKA 	0.00017422	Fairchild Afb, United States
HTL 	0.00017422	Roscommon Co, United States
PAM 	0.00017422	Tyndall Afb, United States
TCM 	0.00017422	Mc Chord Afb, United States
HLR 	0.00017422	Hood Aaf, United States
MIV 	0.00017422	Millville Muni, United States
MER 	0.00017422	Castle, United States
MCC 	0.00017422	Mc Clellan Afld, United States
INK 	0.00017422	Winkler Co, United States
VRB 	0.00017422	Vero Beach Muni, United States
EDF 	0.00017422	Elmendorf Afb, United States
DYS 	0.00017422	Dyess Afb, United States
DPA 	0.00017422	Dupage, United States
INJ 	0.00017422	Hillsboro Muni, United States
NIP 	0.00017422	Jacksonville Nas, United States
FTK 	0.00017422	Godman Aaf, United States
CXL 	0.00017422	Calexico Intl, United States
SFF 	0.00017422	Felts Fld, United States
TNT 	0.00017422	Dade Collier Training And Transition, United States
FTW 	0.00017422	Fort Worth Meacham Intl, United States
FMH 	0.00017422	Otis Angb, United States
SKF 	0.00017422	Lackland Afb Kelly Fld Annex, United States
SSC 	0.00017422	Shaw Afb, United States
GVT 	0.00017422	Majors, United States
DET 	0.00017422	Coleman A Young Muni, United States
WWD 	0.00017422	Cape May Co, United States
NFL 	0.00017422	Fallon Nas, United States
MTC 	0.00017422	Selfridge Angb, United States
NQX 	0.00017422	Key West Nas, United States
PNE 	0.00017422	Northeast Philadelphia, United States
TCS 	0.00017422	Truth Or Consequences Muni, United States
PMD 	0.00017422	Palmdale Rgnl Usaf Plt 42, United States
RND 	0.00017422	Randolph Afb, United States
NJK 	0.00017422	El Centro Naf, United States
FYV 	0.00017422	Drake Fld, United States
FSI 	0.00017422	Henry Post Aaf, United States
PNM 	0.00017422	Princeton Muni, United States
FFO 	0.00017422	Wright Patterson Afb, United States
MWL 	0.00017422	Mineral Wells, United States
IAB 	0.00017422	Mc Connell Afb, United States
NBG 	0.00017422	New Orleans Nas Jrb, United States
BFT 	0.00017422	Beaufort, United States
APG 	0.00017422	Phillips Aaf, United States
TCC 	0.00017422	Tucumcari Muni, United States
ZUN 	0.00017422	Black Rock, United States
NQA 	0.00017422	Millington Rgnl Jetport, United States
EKN 	0.00017422	Elkins Randolph Co Jennings Randolph, United States
HFD 	0.00017422	Hartford Brainard, United States
SFZ 	0.00017422	North Central State, United States
NUQ 	0.00017422	Moffett Federal Afld, United States
BKH 	0.00017422	Barking Sands Pmrf, United States
DRI 	0.00017422	Beauregard Rgnl, United States
BSF 	0.00017422	Bradshaw Aaf, United States
OLS 	0.00017422	Nogales Intl, United States
MCF 	0.00017422	Macdill Afb, United States
OPF 	0.00017422	Opa Locka, United States
DRT 	0.00017422	Del Rio Intl, United States
MUI 	0.00017422	Muir Aaf, United States
HST 	0.00017422	Homestead Arb, United States
RAL 	0.00017422	Riverside Muni, United States
FLV 	0.00017422	Sherman Aaf, United States
WAL 	0.00017422	Wallops Flight Facility, United States
HMN 	0.00017422	Holloman Afb, United States
NXX 	0.00017422	Willow Grove Nas Jrb, United States
YIP 	0.00017422	Willow Run, United States
VBG 	0.00017422	Vandenberg Afb, United States
NEL 	0.00017422	Lakehurst Naes, United States
SYA 	0.00017422	Eareckson As, United States
LSV 	0.00017422	Nellis Afb, United States
RIV 	0.00017422	March Arb, United States
UGN 	0.00017422	Waukegan Rgnl, United States
SKY 	0.00017422	Griffing Sandusky, United States
PAE 	0.00017422	Snohomish Co, United States
MUO 	0.00017422	Mountain Home Afb, United States
NGU 	0.00017422	Norfolk Ns, United States
CEF 	0.00017422	Westover Arb Metropolitan, United States
BCT 	0.00017422	Boca Raton, United States
NYG 	0.00017422	Quantico Mcaf, United States
CVS 	0.00017422	Cannon Afb, United States
NGF 	0.00017422	Kaneohe Bay Mcaf, United States
OFF 	0.00017422	Offutt Afb, United States
GKN 	0.00017422	Gulkana, United States
BAD 	0.00017422	Barksdale Afb, United States
FOE 	0.00017422	Forbes Fld, United States
COT 	0.00017422	Cotulla Lasalle Co, United States
NMM 	0.00017422	Meridian Nas, United States
HBR 	0.00017422	Hobart Muni, United States
WSD 	0.00017422	Condron Aaf, United States
LFI 	0.00017422	Langley Afb, United States
CBM 	0.00017422	Columbus Afb, United States
TMB 	0.00017422	Kendall Tamiami Executive, United States
NTU 	0.00017422	Oceana Nas, United States
GUS 	0.00017422	Grissom Arb, United States
SEM 	0.00017422	Craig Fld, United States
FBK 	0.00017422	Ladd Aaf, United States
MMV 	0.00017422	Mc Minnville Muni, United States
WRB 	0.00017422	Robins Afb, United States
SBG 	0.00017422	Maimun Saleh, Indonesia
CBN 	0.00017422	Penggung, Indonesia
CXP 	0.00017422	Tunggul Wulung, Indonesia
PCB 	0.00017422	Pondok Cabe, Indonesia
SIQ 	0.00017422	Dabo, Indonesia
RTG 	0.00017422	Satar Tacik, Indonesia
AMI 	0.00017422	Selaparang, Indonesia
NAK 	0.00017422	Nakhon Ratchasima, Thailand
LPX 	0.00017422	Liepaja Intl, Latvia
SQQ 	0.00017422	Siauliai Intl, Lithuania
HLJ 	0.00017422	Barysiai, Lithuania
PNV 	0.00017422	Pajuostis, Lithuania
ASA 	0.00017422	Assab Intl, Eritrea
GZA 	0.00017422	Yasser Arafat Intl, Palestine
BHN 	0.00017422	Beihan, Yemen
JRB 	0.00017422	Wall Street Heliport, United States
JCH 	0.00017422	Qasigiannguit, Greenland
NSB 	0.00017422	Bimini North Seaplane Base, Bahamas
TKA 	0.00017422	Talkeetna, United States
GZM 	0.00017422	Xewkija Heliport, Malta
MFN 	0.00017422	Milford Sound Airport, New Zealand
TSS 	0.00017422	East 34th Street Heliport, United States
QKL 	0.00017422	Cologne Railway, Germany
ZWS 	0.00017422	Stuttgart Railway Station, Germany
SEU 	0.00017422	Seronera, Tanzania
DWH 	0.00017422	David Wayne Hooks Field, United States
S46 	0.00017422	Port O\\'Connor Airfield, United States
VNY 	0.00017422	Van Nuys, United States
X21 	0.00017422	Arthur Dunn Airpark, United States
PFN 	0.00017422	Panama City Bay Co Intl, United States
DWS 	0.00017422	Orlando, United States
HUI 	0.00017422	Phu Bai, Vietnam
YOA 	0.00017422	Ekati, Canada
LEV 	0.00017422	Levuka Airfield, Fiji
KBZ 	0.00017422	Kaikoura, New Zealand
PCN 	0.00017422	Koromiko, New Zealand
MFA 	0.00017422	Mafia, Tanzania
SNV 	0.00017422	Santa Elena Airport, Venezuela
BLH 	0.00017422	Blythe Airport, United States
MWQ 	0.00017422	Magwe, Burma
KHM 	0.00017422	Khamti, Burma
PYY 	0.00017422	Pai, Thailand
AAH 	0.00017422	Flugplatz Merzbrueck, Germany
LUA 	0.00017422	Lukla, Nepal
BHP 	0.00017422	Bhojpur, Nepal
LDN 	0.00017422	Lamidanda, Nepal
JMO 	0.00017422	Jomsom, Nepal
NGX 	0.00017422	Manang, Nepal
PPL 	0.00017422	Phaplu, Nepal
TMK 	0.00017422	Thamkharka, Nepal
RUM 	0.00017422	Rumjatar, Nepal
DNP 	0.00017422	Tulsipur, Nepal
RUK 	0.00017422	Rukumkot, Nepal
JUM 	0.00017422	Jumla, Nepal
HRJ 	0.00017422	Chaurjhari, Nepal
TPJ 	0.00017422	Taplejung, Nepal
IMK 	0.00017422	Simikot, Nepal
DOP 	0.00017422	Dolpa, Nepal
BJH 	0.00017422	Bajhang, Nepal
NOE 	0.00017422	Sonderlandeplatz Norden-Norddeich, Germany
JUI 	0.00017422	Verkehrslandeplatz Juist, Germany
GDA 	0.00017422	Gounda Airport, Central African Republic
SGR 	0.00017422	Sugar Land Regional Airport, United States
HIS 	0.00017422	Hayman Island Airport, Australia
APA 	0.00017422	Centennial, United States
FST 	0.00017422	Fort Stockton Pecos Co, United States
LVS 	0.00017422	Las Vegas Muni, United States
IWS 	0.00017422	West Houston, United States
LHX 	0.00017422	La Junta Muni, United States
LRU 	0.00017422	Las Cruces Intl, United States
BKD 	0.00017422	Stephens Co, United States
TPL 	0.00017422	Draughon Miller Central Texas Rgnl, United States
OZA 	0.00017422	Ozona Muni, United States
HEW 	0.00017422	Athen Helenikon Airport, Greece
WKL 	0.00017422	Waikoloa Heliport, United States
LAK 	0.00017422	Aklavik, Canada
CGF 	0.00017422	Cuyahoga County, United States
MFD 	0.00017422	Mansfield Lahm Regional, United States
FNL 	0.00017422	Fort Collins Loveland Muni, United States
TVL 	0.00017422	Lake Tahoe Airport, United States
UUU 	0.00017422	Newport State, United States
VSF 	0.00017422	Hartness State, United States
CON 	0.00017422	Concord Municipal, United States
SFM 	0.00017422	Sanford Regional, United States
GON 	0.00017422	Groton New London, United States
BPE 	0.00017422	Bagan, Burma
HQM 	0.00017422	Bowerman Field, United States
SDX 	0.00017422	Sedona, United States
BAK 	0.00017422	Heydar Aliyev, Azerbaijan
THG 	0.00017422	Thangool, Australia
FGI 	0.00017422	Fagali\\'i, Samoa
MKC 	0.00017422	Downtown, United States
RBE 	0.00017422	Ratanakiri, Cambodia
NZJ 	0.00017422	El Toro, United States
PHY 	0.00017422	Phetchabun, Thailand
KAI 	0.00017422	Kaieteur, Guyana
ECA 	0.00017422	Iosco County, United States
TBJ 	0.00017422	7 Novembre, Tunisia
CGU 	0.00017422	General Manuel Carlos Piar, Venezuela
QEF 	0.00017422	Egelsbach, Germany
UIK 	0.00017422	Ust-Ilimsk, Russia
HKV 	0.00017422	Uzundzhovo, Bulgaria
GUP 	0.00017422	Gallup Muni, United States
LAA 	0.00017422	Lamar Muni, United States
GLD 	0.00017422	Renner Fld, United States
FBU 	0.00017422	Fornebu, Norway
BKA 	0.00017422	Bykovo, Russia
ZWU 	0.00017422	Washington Union Station, United States
PKV 	0.00017422	Kresty, Russia
KGP 	0.00017422	Kogalym International, Russia
CRZ 	0.00017422	Turkmenabat, Turkmenistan
IWA 	0.00017422	Yuzhny, Russia
JON 	0.00017422	Johnston Atoll, Johnston Atoll
SMD 	0.00017422	Smith Fld, United States
TCL 	0.00017422	Tuscaloosa Rgnl, United States
GBJ 	0.00017422	Les Bases Airport, Guadeloupe
SFC 	0.00017422	St-François Airport, Guadeloupe
BBQ 	0.00017422	Codrington Airport, Antigua and Barbuda
MYC 	0.00017422	Escuela Mariscal Sucre Airport, Venezuela
NZA 	0.00017422	Maria Reiche Neuman Airport, Peru
BXX 	0.00017422	Boorama Airport, Somalia
MVS 	0.00017422	Mucuri Airport, Brazil
ORG 	0.00017422	Zorg en Hoop Airport, Suriname
REY 	0.00017422	Reyes Airport, Bolivia
PUR 	0.00017422	Puerto Rico Airport, Bolivia
ZPC 	0.00017422	Pucón Airport, Chile
TOW 	0.00017422	Toledo Airport, Brazil
GUL 	0.00017422	Goulburn Airport, Australia
SST 	0.00017422	Santa Teresita Airport, Argentina
GGS 	0.00017422	Gobernador Gregores Airport, Argentina
OES 	0.00017422	Antoine De St Exupery Airport, Argentina
LHS 	0.00017422	Las Heras Airport, Argentina
TTG 	0.00017422	General Enrique Mosconi Airport, Argentina
CYU 	0.00017422	Cuyo Airport, Philippines
MPK 	0.00017422	Mokpo Airport, South Korea
OKD 	0.00017422	Okadama Airport, Japan
MFK 	0.00017422	Matsu Beigan Airport, Taiwan
HCN 	0.00017422	Hengchun Airport, Taiwan
LZN 	0.00017422	Matsu Nangan Airport, Taiwan
ENT 	0.00017422	Eniwetok Airport, Marshall Islands
LUP 	0.00017422	Kalaupapa Airport, United States
ENI 	0.00017422	El Nido Airport, Philippines
WPM 	0.00017422	Wipim Airport, Papua New Guinea
VMU 	0.00017422	Baimuru Airport, Papua New Guinea
UKU 	0.00017422	Nuku Airport, Papua New Guinea
SKC 	0.00017422	Suki Airport, Papua New Guinea
OBX 	0.00017422	Obo Airport, Papua New Guinea
LMY 	0.00017422	Lake Murray Airport, Papua New Guinea
KUY 	0.00017422	Kamusi Airport, Papua New Guinea
KKD 	0.00017422	Kokoda Airport, Papua New Guinea
KDR 	0.00017422	Kandrian Airport, Papua New Guinea
JAQ 	0.00017422	Jacquinot Bay Airport, Papua New Guinea
IIS 	0.00017422	Nissan Island Airport, Papua New Guinea
IHU 	0.00017422	Ihu Airport, Papua New Guinea
GMI 	0.00017422	Gasmata Island Airport, Papua New Guinea
ATP 	0.00017422	Tadji Airport, Papua New Guinea
ELE 	0.00017422	EL Real Airport, Panama
KAC 	0.00017422	Kamishly Airport, Syria
SYW 	0.00017422	Sehwan Sharif Airport, Pakistan
PAJ 	0.00017422	Parachinar Airport, Pakistan
ORW 	0.00017422	Ormara Airport, Pakistan
KDD 	0.00017422	Khuzdar Airport, Pakistan
HDD 	0.00017422	Hyderabad Airport, Pakistan
JIW 	0.00017422	Jiwani Airport, Pakistan
BNP 	0.00017422	Bannu Airport, Pakistan
RJN 	0.00017422	Rafsanjan Airport, Iran
EWD 	0.00017422	Wadi Al Dawasir Airport, Saudi Arabia
XAU 	0.00017422	Saul Airport, French Guiana
FBD 	0.00017422	Faizabad Airport, Afghanistan
